"id","limits"
"1","0;181;368;477;501;507;569"
"2","0;181;367;477;501;507;569"
"3","0;181;367;477;501;507;569"
"4","0;181;368;477;501;507;569"
"5","0;181;367;477;501;507;569"
"6","0;183;367;477;501;506;569"
"7","0;182;367;477;501;507;569"
"8","0;181;367;477;501;507;569"
"9","0;181;367;477;501;507;569"
"10","0;183;367;477;501;507;569"
"11","0;182;367;477;501;506;569"
"12","0;181;367;477;501;507;569"
"13","0;182;367;477;501;507;569"
"14","0;182;367;477;501;507;569"
"15","0;181;368;478;501;507;569"
"16","0;182;365;477;500;507;569"
"17","0;182;367;477;501;507;569"
"18","0;181;367;477;501;507;569"
"19","0;181;368;478;501;507;569"
"20","0;182;367;478;501;507;569"
"21","0;182;367;478;501;507;569"
"22","0;183;367;478;501;506;569"
"23","0;181;368;478;501;507;569"
"24","0;183;367;478;501;506;569"
"25","0;181;368;478;501;507;569"
"26","0;181;368;478;501;507;569"
"27","0;183;367;478;501;506;569"
"28","0;183;367;478;501;506;569"
"29","0;183;367;477;501;506;569"
"30","0;182;367;477;501;507;569"
"31","0;181;367;477;501;507;569"
"32","0;182;367;477;501;507;569"
"33","0;181;367;477;501;507;569"
"34","0;181;367;477;501;507;569"
"35","0;181;367;477;501;507;569"
"36","0;183;367;477;501;506;569"
"37","0;183;367;477;501;506;569"
"38","0;183;367;477;501;506;569"
"39","0;183;367;477;501;506;569"
"40","0;182;368;477;501;507;569"
"41","0;182;367;477;501;507;569"
"42","0;181;367;477;501;507;569"
"43","0;181;367;477;501;507;569"
"44","0;181;367;477;501;507;569"
"45","0;181;367;477;501;507;569"
"46","0;181;364;476;502;505;569"
"47","0;181;365;477;500;507;569"
"48","0;181;368;477;501;507;569"
"49","0;181;368;478;501;507;569"
"50","0;181;368;478;501;507;569"
"51","0;181;368;478;501;507;569"
"52","0;183;367;478;501;507;569"
"53","0;181;367;478;501;507;569"
"54","0;181;367;478;501;507;569"
"55","0;183;367;477;501;506;569"
"56","0;182;367;478;501;507;569"
"57","0;181;368;478;501;507;569"
"58","0;184;367;478;501;507;569"
"59","0;181;368;478;501;507;569"
"60","0;181;368;477;501;507;569"
